fruit_label,fruit_name,fruit_subtype,mass,width,height,color_score
3,orange,valencia,132.0,7.1,7.1,0.82
3,orange,valencia,183.0,7.5,6.3,0.76
9,pomegranate,unknown,342.0,8.0,7.6,0.57
8,banana,unknown,125.0,3.4,16.6,0.88
17,avocado,unknown,188.0,6.0,6.9,0.51
21,plum,unknown,46.0,5.3,5.2,0.71
13,watermelon,unknown,2464.0,21.0,29.0,0.52
4,lemon,meyer,103.0,7.1,8.2,0.73
28,persimmon,unknown,164.0,7.6,6.8,0.85
13,watermelon,unknown,1958.0,20.5,30.6,0.57
4,lemon,meyer,105.0,5.8,7.9,0.78
28,persimmon,unknown,178.0,7.0,5.7,0.85
13,watermelon,unknown,2637.0,22.2,35.3,0.56
12,grape,unknown,7.0,1.9,2.8,0.57
12,grape,unknown,9.0,2.0,2.5,0.59
3,orange,valencia,174.0,6.7,7.4,0.72
29,passion_fruit,unknown,44.0,5.3,5.0,0.68
30,apricot,unknown,53.0,4.2,4.1,0.85
21,plum,unknown,69.0,4.9,5.6,0.71
14,pineapple,unknown,979.0,14.3,20.4,0.73
18,papaya,unknown,483.0,11.1,18.4,0.74
8,banana,unknown,122.0,3.6,16.6,0.92
14,pineapple,unknown,1460.0,13.6,22.9,0.74
10,tomato,unknown,96.0,4.8,5.8,0.61
7,mango,unknown,184.0,7.2,13.8,0.85
25,coconut,unknown,1295.0,13.7,17.1,0.55
19,dragon_fruit,unknown,371.0,10.1,13.5,0.89
6,peach,unknown,117.0,7.5,6.9,0.77
1,apple,fuji,145.0,9.3,8.4,0.8
10,tomato,unknown,106.0,5.6,5.7,0.71
30,apricot,unknown,48.0,4.0,4.8,0.79
20,guava,unknown,144.0,6.6,6.6,0.52
24,durian,unknown,1884.0,17.4,30.1,0.62
26,lychee,unknown,27.0,3.1,2.8,0.92
18,papaya,unknown,602.0,10.6,17.4,0.81
26,lychee,unknown,22.0,3.5,3.1,0.78
6,peach,unknown,130.0,7.4,6.8,0.89
10,tomato,unknown,84.0,6.6,6.0,0.62
11,strawberry,unknown,18.0,2.7,3.9,0.92
24,durian,unknown,2452.0,18.0,21.4,0.67
14,pineapple,unknown,1344.0,10.7,19.3,0.8
20,guava,unknown,167.0,6.4,6.1,0.66
2,mandarin,clementine,66.0,6.4,4.8,0.83
1,apple,fuji,134.0,8.6,7.1,0.77
16,cherry,unknown,7.0,2.3,2.3,0.95
21,plum,unknown,57.0,5.5,4.4,0.69
10,tomato,unknown,96.0,5.6,5.1,0.72
29,passion_fruit,unknown,43.0,3.9,5.5,0.65
9,pomegranate,unknown,226.0,9.1,6.7,0.63
5,pear,unknown,121.0,7.7,8.4,0.72
26,lychee,unknown,25.0,3.6,3.4,0.9
30,apricot,unknown,43.0,3.9,4.0,0.75
13,watermelon,unknown,2188.0,22.5,28.6,0.55
26,lychee,unknown,32.0,3.0,3.6,0.91
20,guava,unknown,139.0,8.3,6.6,0.57
15,kiwi,unknown,86.0,6.1,6.9,0.7
13,watermelon,unknown,2395.0,20.5,31.3,0.6
3,orange,valencia,178.0,6.8,8.2,0.78
11,strawberry,unknown,19.0,3.2,4.1,0.96
3,orange,valencia,123.0,6.8,8.0,0.74
10,tomato,unknown,115.0,6.4,6.1,0.61
2,mandarin,clementine,103.0,5.9,4.6,0.85
17,avocado,unknown,148.0,7.1,9.0,0.45
20,guava,unknown,163.0,5.9,6.2,0.62
11,strawberry,unknown,26.0,3.2,3.9,0.94
28,persimmon,unknown,213.0,6.5,6.1,0.9
18,papaya,unknown,482.0,9.2,18.1,0.79
20,guava,unknown,175.0,6.6,6.0,0.64
25,coconut,unknown,1182.0,14.3,18.4,0.63
28,persimmon,unknown,218.0,7.2,5.8,0.84
18,papaya,unknown,566.0,8.8,19.6,0.73
14,pineapple,unknown,1212.0,12.6,16.4,0.74
23,grapefruit,unknown,438.0,11.9,11.3,0.79
29,passion_fruit,unknown,39.0,4.8,4.6,0.61
21,plum,unknown,77.0,4.7,4.7,0.72
18,papaya,unknown,432.0,11.3,20.8,0.72
17,avocado,unknown,185.0,7.0,9.1,0.54
7,mango,unknown,226.0,8.5,11.1,0.78
20,guava,unknown,156.0,6.3,4.8,0.61
19,dragon_fruit,unknown,375.0,8.3,11.4,0.89
3,orange,valencia,205.0,7.3,8.2,0.75
3,orange,valencia,145.0,6.6,7.0,0.85
18,papaya,unknown,353.0,10.9,20.9,0.81
16,cherry,unknown,11.0,2.6,2.1,0.92
3,orange,valencia,165.0,7.1,7.4,0.72
19,dragon_fruit,unknown,455.0,9.3,12.4,0.83
8,banana,unknown,98.0,3.6,15.4,0.85
16,cherry,unknown,9.0,2.1,2.3,0.93
17,avocado,unknown,187.0,7.0,7.7,0.5
14,pineapple,unknown,1362.0,13.1,18.4,0.76
1,apple,fuji,192.0,9.0,7.2,0.75
24,durian,unknown,2377.0,18.1,21.9,0.73
3,orange,valencia,120.0,5.8,7.3,0.73
7,mango,unknown,332.0,9.4,13.4,0.86
28,persimmon,unknown,164.0,7.0,5.5,0.87
20,guava,unknown,145.0,6.4,6.1,0.64
8,banana,unknown,142.0,4.0,16.8,0.87
15,kiwi,unknown,64.0,5.6,6.4,0.6
11,strawberry,unknown,21.0,3.4,4.1,0.91
6,peach,unknown,169.0,7.2,7.3,0.88
6,peach,unknown,151.0,6.1,5.8,0.95
1,apple,fuji,176.0,7.7,6.4,0.76
22,lime,unknown,41.0,4.3,5.6,0.54
22,lime,unknown,44.0,4.7,5.2,0.59
29,passion_fruit,unknown,42.0,5.0,5.5,0.64
8,banana,unknown,115.0,3.6,16.3,0.8
21,plum,unknown,67.0,4.6,4.4,0.69
5,pear,unknown,192.0,7.1,8.6,0.73
19,dragon_fruit,unknown,333.0,8.5,12.0,0.87
16,cherry,unknown,10.0,2.8,2.4,0.92
13,watermelon,unknown,2349.0,22.8,34.0,0.6
1,apple,fuji,197.0,7.0,6.9,0.74
3,orange,valencia,158.0,8.1,7.1,0.8
25,coconut,unknown,1017.0,14.2,13.6,0.56
1,apple,fuji,212.0,8.2,7.3,0.75
16,cherry,unknown,10.0,2.6,2.2,0.97
10,tomato,unknown,96.0,6.4,6.1,0.62
17,avocado,unknown,203.0,5.9,8.6,0.47
12,grape,unknown,8.0,2.1,2.3,0.58
10,tomato,unknown,87.0,6.3,5.2,0.6
30,apricot,unknown,41.0,4.7,4.3,0.74
26,lychee,unknown,23.0,3.7,3.3,0.88
6,peach,unknown,143.0,6.7,7.3,0.84
27,starfruit,unknown,102.0,6.1,9.7,0.71
3,orange,valencia,170.0,7.8,7.8,0.69
16,cherry,unknown,11.0,2.7,2.7,0.99
1,apple,fuji,188.0,7.3,7.8,0.8
11,strawberry,unknown,20.0,3.3,4.0,0.98
3,orange,valencia,164.0,6.4,7.6,0.72
3,orange,valencia,173.0,6.7,6.6,0.73
20,guava,unknown,152.0,5.5,6.1,0.51
28,persimmon,unknown,171.0,7.7,5.4,0.84
23,grapefruit,unknown,460.0,10.2,13.9,0.65
12,grape,unknown,8.0,1.9,2.4,0.57
1,apple,fuji,177.0,7.7,8.3,0.73
24,durian,unknown,1609.0,17.6,27.6,0.63
19,dragon_fruit,unknown,299.0,8.9,12.2,0.87
20,guava,unknown,162.0,6.5,6.7,0.64
18,papaya,unknown,512.0,9.1,19.5,0.84
20,guava,unknown,190.0,7.0,5.6,0.63
20,guava,unknown,148.0,5.9,6.4,0.6
28,persimmon,unknown,186.0,7.2,5.3,0.78
24,durian,unknown,1821.0,22.5,21.2,0.69
13,watermelon,unknown,2016.0,20.4,27.9,0.53
4,lemon,meyer,100.0,6.3,7.9,0.71
2,mandarin,clementine,85.0,5.3,5.0,0.82
22,lime,unknown,65.0,4.7,4.7,0.45
24,durian,unknown,1759.0,20.7,27.8,0.74
3,orange,valencia,101.0,7.6,8.5,0.76
29,passion_fruit,unknown,41.0,4.4,5.8,0.73
22,lime,unknown,73.0,3.8,4.3,0.61
12,grape,unknown,9.0,2.0,2.5,0.53
26,lychee,unknown,27.0,3.7,3.1,0.85
27,starfruit,unknown,111.0,5.7,9.3,0.82
16,cherry,unknown,11.0,2.9,2.2,0.95
10,tomato,unknown,86.0,6.0,5.0,0.68
8,banana,unknown,116.0,3.6,17.1,0.9
4,lemon,meyer,144.0,7.0,9.1,0.74
9,pomegranate,unknown,257.0,8.6,7.8,0.57
19,dragon_fruit,unknown,327.0,10.7,12.5,0.85
30,apricot,unknown,41.0,4.6,4.7,0.81
24,durian,unknown,2294.0,14.3,19.2,0.66
29,passion_fruit,unknown,43.0,4.5,6.6,0.63
6,peach,unknown,152.0,7.9,7.2,0.85
27,starfruit,unknown,97.0,6.3,8.9,0.71
25,coconut,unknown,831.0,13.3,18.8,0.57
29,passion_fruit,unknown,46.0,4.4,5.5,0.63
5,pear,unknown,203.0,7.1,8.9,0.79
5,pear,unknown,157.0,7.4,9.9,0.76
24,durian,unknown,2290.0,18.7,22.6,0.59
26,lychee,unknown,20.0,3.4,3.2,0.82
21,plum,unknown,59.0,4.8,5.4,0.65
21,plum,unknown,40.0,4.6,4.3,0.67
27,starfruit,unknown,100.0,5.6,8.6,0.77
10,tomato,unknown,86.0,5.3,6.0,0.74
26,lychee,unknown,27.0,3.2,3.3,0.83
15,kiwi,unknown,72.0,5.0,5.7,0.73
8,banana,unknown,126.0,3.2,18.8,0.84
29,passion_fruit,unknown,35.0,4.8,5.5,0.62
30,apricot,unknown,47.0,4.3,4.5,0.84
14,pineapple,unknown,1132.0,13.6,20.0,0.78
26,lychee,unknown,25.0,4.0,3.7,0.85
15,kiwi,unknown,75.0,4.1,6.3,0.61
26,lychee,unknown,32.0,3.8,3.2,0.88
11,strawberry,unknown,22.0,3.0,3.8,0.94
17,avocado,unknown,156.0,5.7,8.6,0.51
3,orange,valencia,148.0,7.9,7.9,0.76
19,dragon_fruit,unknown,412.0,9.2,15.0,0.9
29,passion_fruit,unknown,40.0,5.1,4.9,0.68
23,grapefruit,unknown,414.0,8.7,11.0,0.77
3,orange,valencia,171.0,6.9,6.7,0.78
6,peach,unknown,149.0,6.5,7.0,0.85
29,passion_fruit,unknown,35.0,5.0,6.1,0.65
22,lime,unknown,59.0,4.5,5.5,0.62
21,plum,unknown,69.0,6.0,5.7,0.71
18,papaya,unknown,483.0,11.4,15.6,0.75
21,plum,unknown,53.0,4.7,4.8,0.71
14,pineapple,unknown,1617.0,13.4,17.5,0.76
21,plum,unknown,66.0,4.4,4.1,0.68
28,persimmon,unknown,211.0,7.0,6.5,0.83
12,grape,unknown,7.0,1.9,2.5,0.66
7,mango,unknown,238.0,7.8,12.3,0.76
4,lemon,meyer,104.0,6.7,8.2,0.77
16,cherry,unknown,11.0,2.9,2.2,0.92
24,durian,unknown,2274.0,17.0,26.3,0.57
3,orange,valencia,136.0,7.0,8.0,0.78
27,starfruit,unknown,96.0,5.3,10.9,0.73
13,watermelon,unknown,2120.0,19.6,32.8,0.49
17,avocado,unknown,230.0,6.2,9.6,0.54
20,guava,unknown,167.0,7.1,5.2,0.66
19,dragon_fruit,unknown,311.0,10.4,10.6,0.84
9,pomegranate,unknown,304.0,10.7,8.4,0.54
23,grapefruit,unknown,381.0,10.9,11.2,0.71
17,avocado,unknown,161.0,6.6,8.7,0.46
26,lychee,unknown,23.0,3.7,4.4,0.85
29,passion_fruit,unknown,33.0,5.0,5.3,0.66
25,coconut,unknown,1299.0,15.7,20.5,0.59
30,apricot,unknown,43.0,4.1,4.1,0.8
6,peach,unknown,128.0,7.3,6.2,0.82
11,strawberry,unknown,21.0,2.8,4.1,0.84
23,grapefruit,unknown,307.0,11.0,12.5,0.71
1,apple,fuji,238.0,7.5,7.4,0.82
23,grapefruit,unknown,411.0,11.9,10.7,0.76
26,lychee,unknown,30.0,3.6,3.4,0.88
6,peach,unknown,108.0,7.3,6.8,0.9
30,apricot,unknown,45.0,4.4,4.5,0.82
4,lemon,meyer,116.0,6.4,6.4,0.7
6,peach,unknown,136.0,6.8,7.6,0.84
12,grape,unknown,9.0,2.1,2.5,0.58
19,dragon_fruit,unknown,354.0,8.8,11.1,0.86
20,guava,unknown,122.0,6.9,6.3,0.65
27,starfruit,unknown,79.0,6.0,10.0,0.79
30,apricot,unknown,40.0,3.9,5.0,0.83
22,lime,unknown,82.0,4.1,4.7,0.51
26,lychee,unknown,24.0,3.8,3.2,0.84
21,plum,unknown,53.0,4.4,5.7,0.68
12,grape,unknown,10.0,1.7,2.3,0.6
12,grape,unknown,8.0,2.0,2.3,0.59
10,tomato,unknown,103.0,6.4,5.9,0.7
12,grape,unknown,9.0,1.9,2.3,0.52
29,passion_fruit,unknown,36.0,5.5,6.2,0.65
17,avocado,unknown,210.0,6.7,7.5,0.5
14,pineapple,unknown,1166.0,13.1,21.2,0.7
21,plum,unknown,55.0,5.1,5.0,0.71
17,avocado,unknown,209.0,6.3,9.9,0.43
30,apricot,unknown,41.0,4.1,4.8,0.76
16,cherry,unknown,10.0,2.4,2.3,0.94
18,papaya,unknown,476.0,10.6,20.0,0.71
4,lemon,meyer,125.0,6.2,7.6,0.67
26,lychee,unknown,29.0,3.3,3.9,0.86
4,lemon,meyer,134.0,5.4,7.8,0.73
8,banana,unknown,102.0,3.5,16.5,0.84
26,lychee,unknown,26.0,3.9,3.4,0.88
25,coconut,unknown,1351.0,14.3,17.4,0.55
22,lime,unknown,73.0,4.4,5.0,0.44
30,apricot,unknown,40.0,4.6,4.1,0.79
22,lime,unknown,63.0,4.6,4.8,0.52
22,lime,unknown,58.0,4.6,4.8,0.55
2,mandarin,clementine,71.0,6.9,4.1,0.82
30,apricot,unknown,52.0,3.7,3.5,0.8
11,strawberry,unknown,22.0,3.3,4.2,0.9
10,tomato,unknown,75.0,5.6,6.1,0.67
13,watermelon,unknown,2295.0,19.4,30.4,0.65
2,mandarin,clementine,84.0,6.8,4.4,0.81
2,mandarin,clementine,74.0,6.1,3.7,0.79
5,pear,unknown,195.0,6.2,8.9,0.72
12,grape,unknown,11.0,2.0,2.9,0.65
28,persimmon,unknown,215.0,7.6,6.5,0.8
10,tomato,unknown,79.0,5.8,4.4,0.69
5,pear,unknown,178.0,7.4,8.7,0.75
15,kiwi,unknown,61.0,5.3,7.2,0.58
5,pear,unknown,186.0,6.3,8.3,0.79
12,grape,unknown,8.0,1.9,3.1,0.65
13,watermelon,unknown,2702.0,20.1,32.3,0.47
26,lychee,unknown,27.0,3.6,3.7,0.87
17,avocado,unknown,187.0,6.5,10.2,0.5
21,plum,unknown,57.0,3.9,5.6,0.67
15,kiwi,unknown,65.0,3.9,6.0,0.71
29,passion_fruit,unknown,35.0,5.0,5.6,0.66
26,lychee,unknown,24.0,3.5,3.7,0.83
25,coconut,unknown,1441.0,15.7,17.1,0.53
18,papaya,unknown,390.0,10.8,18.8,0.79
7,mango,unknown,271.0,6.8,11.0,0.88
9,pomegranate,unknown,379.0,8.0,9.3,0.57
10,tomato,unknown,94.0,4.6,5.9,0.62
18,papaya,unknown,459.0,7.2,18.1,0.79
9,pomegranate,unknown,289.0,8.7,8.3,0.59
30,apricot,unknown,42.0,4.3,4.4,0.83
25,coconut,unknown,1240.0,13.4,17.8,0.62
28,persimmon,unknown,159.0,8.2,5.2,0.77
24,durian,unknown,2046.0,17.8,24.2,0.64
30,apricot,unknown,44.0,3.2,5.2,0.88
2,mandarin,clementine,84.0,6.7,4.7,0.78
10,tomato,unknown,100.0,5.2,6.0,0.66
11,strawberry,unknown,23.0,2.9,4.6,0.98
21,plum,unknown,53.0,4.4,4.4,0.65
4,lemon,meyer,124.0,6.2,7.6,0.78
7,mango,unknown,227.0,8.4,11.8,0.76
14,pineapple,unknown,1990.0,13.4,24.5,0.73
15,kiwi,unknown,94.0,4.8,6.9,0.69
23,grapefruit,unknown,415.0,12.1,9.4,0.72
16,cherry,unknown,10.0,2.1,2.0,0.95
29,passion_fruit,unknown,39.0,5.2,5.9,0.73
14,pineapple,unknown,1693.0,11.1,20.3,0.77
14,pineapple,unknown,1802.0,11.5,16.7,0.8
30,apricot,unknown,42.0,4.7,5.3,0.87
8,banana,unknown,146.0,3.3,21.1,0.9
27,starfruit,unknown,94.0,5.5,10.3,0.72
8,banana,unknown,101.0,2.9,18.7,0.84
2,mandarin,clementine,100.0,6.6,4.4,0.81
7,mango,unknown,277.0,8.6,11.5,0.81
2,mandarin,clementine,93.0,6.0,4.7,0.77
17,avocado,unknown,162.0,6.0,9.3,0.44
6,peach,unknown,193.0,7.8,6.8,0.82
13,watermelon,unknown,2281.0,22.2,36.8,0.52
20,guava,unknown,161.0,5.7,6.9,0.62
26,lychee,unknown,26.0,3.5,3.8,0.89
10,tomato,unknown,67.0,5.8,5.6,0.68
8,banana,unknown,128.0,3.9,14.8,0.89
30,apricot,unknown,44.0,3.4,4.0,0.81
12,grape,unknown,7.0,1.9,2.2,0.66
30,apricot,unknown,45.0,3.9,4.9,0.82
8,banana,unknown,135.0,3.2,21.5,0.94
13,watermelon,unknown,2273.0,19.4,27.5,0.54
6,peach,unknown,144.0,7.4,7.1,0.91
15,kiwi,unknown,81.0,4.8,5.6,0.64
29,passion_fruit,unknown,46.0,4.8,5.4,0.68
16,cherry,unknown,9.0,2.2,2.4,1.0
25,coconut,unknown,1053.0,18.4,17.9,0.51
22,lime,unknown,61.0,5.0,4.3,0.53
11,strawberry,unknown,13.0,3.4,4.1,0.9
18,papaya,unknown,517.0,11.4,22.6,0.77
5,pear,unknown,214.0,7.5,9.9,0.76
11,strawberry,unknown,22.0,3.2,4.6,0.91
25,coconut,unknown,942.0,15.2,17.3,0.64
21,plum,unknown,76.0,4.8,5.9,0.73
22,lime,unknown,62.0,4.1,5.1,0.53
11,strawberry,unknown,20.0,2.9,3.7,0.91
2,mandarin,clementine,95.0,5.9,4.2,0.8
6,peach,unknown,164.0,6.8,7.4,0.85
13,watermelon,unknown,1474.0,23.7,30.9,0.52
11,strawberry,unknown,20.0,3.5,4.2,0.96
23,grapefruit,unknown,460.0,10.4,12.4,0.78
28,persimmon,unknown,172.0,7.1,5.0,0.89
24,durian,unknown,1625.0,17.1,25.8,0.66
27,starfruit,unknown,77.0,5.3,10.9,0.68
11,strawberry,unknown,17.0,3.2,4.3,0.95
24,durian,unknown,1987.0,18.1,25.4,0.7
20,guava,unknown,167.0,6.4,6.0,0.6
12,grape,unknown,7.0,1.8,2.7,0.6
13,watermelon,unknown,2704.0,20.6,27.0,0.61
9,pomegranate,unknown,182.0,9.5,9.6,0.62
11,strawberry,unknown,23.0,2.8,3.8,0.98
28,persimmon,unknown,220.0,7.8,5.4,0.78
27,starfruit,unknown,97.0,6.9,8.4,0.72
2,mandarin,clementine,59.0,5.9,3.9,0.85
30,apricot,unknown,56.0,3.9,5.1,0.86
17,avocado,unknown,187.0,5.3,8.8,0.52
13,watermelon,unknown,2358.0,20.6,32.7,0.6
27,starfruit,unknown,68.0,6.9,9.9,0.72
3,orange,valencia,195.0,7.5,6.9,0.7
13,watermelon,unknown,2274.0,19.2,26.7,0.53
24,durian,unknown,2383.0,17.1,21.5,0.59
1,apple,fuji,159.0,7.2,7.5,0.79
25,coconut,unknown,847.0,16.7,17.1,0.62
7,mango,unknown,236.0,7.9,10.8,0.77
4,lemon,meyer,116.0,6.0,8.4,0.75
22,lime,unknown,55.0,3.7,5.4,0.52
25,coconut,unknown,1160.0,14.3,20.9,0.63
10,tomato,unknown,104.0,6.4,5.9,0.66
15,kiwi,unknown,95.0,4.6,6.2,0.67
7,mango,unknown,226.0,6.8,11.8,0.88
15,kiwi,unknown,71.0,5.1,6.0,0.68
3,orange,valencia,132.0,6.9,4.9,0.74
19,dragon_fruit,unknown,375.0,9.5,13.4,0.98
18,papaya,unknown,440.0,10.3,21.8,0.76
13,watermelon,unknown,2545.0,21.6,34.7,0.57
10,tomato,unknown,126.0,6.0,5.2,0.73
1,apple,fuji,182.0,7.1,5.5,0.77
12,grape,unknown,9.0,1.8,2.4,0.65
9,pomegranate,unknown,274.0,9.9,8.8,0.61
21,plum,unknown,70.0,5.5,4.6,0.69
13,watermelon,unknown,2738.0,20.0,31.7,0.49
18,papaya,unknown,494.0,11.3,19.3,0.78
3,orange,valencia,176.0,6.7,6.4,0.75
29,passion_fruit,unknown,47.0,5.6,6.3,0.68
11,strawberry,unknown,27.0,3.1,3.7,0.93
30,apricot,unknown,47.0,3.8,4.9,0.76
4,lemon,meyer,122.0,6.1,7.9,0.66
23,grapefruit,unknown,410.0,10.8,9.9,0.84
4,lemon,meyer,99.0,6.3,7.6,0.71
11,strawberry,unknown,20.0,2.7,3.9,0.91
22,lime,unknown,61.0,5.0,5.1,0.49
7,mango,unknown,261.0,7.5,10.8,0.79
10,tomato,unknown,95.0,4.9,5.3,0.66
3,orange,valencia,131.0,6.7,7.5,0.86
26,lychee,unknown,20.0,3.8,3.1,0.74
15,kiwi,unknown,86.0,5.4,6.5,0.64
25,coconut,unknown,1339.0,15.3,20.5,0.56
19,dragon_fruit,unknown,328.0,9.0,11.6,0.85
14,pineapple,unknown,1496.0,13.1,22.7,0.79
4,lemon,meyer,99.0,6.9,8.2,0.7
9,pomegranate,unknown,304.0,9.1,9.0,0.6
28,persimmon,unknown,141.0,8.0,6.2,0.84
7,mango,unknown,226.0,8.0,12.5,0.9
28,persimmon,unknown,174.0,6.9,6.0,0.81
29,passion_fruit,unknown,37.0,4.9,5.9,0.64
28,persimmon,unknown,189.0,8.5,5.3,0.81
10,tomato,unknown,80.0,7.2,5.4,0.66
17,avocado,unknown,148.0,6.6,8.4,0.52
10,tomato,unknown,107.0,5.1,5.5,0.62
13,watermelon,unknown,2446.0,21.2,26.8,0.58
3,orange,valencia,184.0,7.5,8.1,0.75
30,apricot,unknown,46.0,3.9,5.4,0.79
17,avocado,unknown,191.0,6.5,9.0,0.56
18,papaya,unknown,448.0,11.6,24.5,0.8
6,peach,unknown,129.0,7.1,8.2,0.83
10,tomato,unknown,106.0,6.5,5.7,0.68
18,papaya,unknown,586.0,10.9,17.9,0.78
8,banana,unknown,154.0,2.9,15.6,0.91
19,dragon_fruit,unknown,204.0,9.5,12.8,0.9
11,strawberry,unknown,19.0,3.0,3.7,0.89
22,lime,unknown,65.0,4.2,4.2,0.53
27,starfruit,unknown,79.0,5.2,10.7,0.8
10,tomato,unknown,95.0,5.9,6.4,0.65
7,mango,unknown,251.0,7.4,13.6,0.77
11,strawberry,unknown,20.0,3.3,3.3,0.9
27,starfruit,unknown,81.0,6.7,9.0,0.69
15,kiwi,unknown,76.0,5.8,7.4,0.68
27,starfruit,unknown,81.0,6.3,8.7,0.77
12,grape,unknown,8.0,2.0,2.7,0.6
17,avocado,unknown,209.0,6.0,9.6,0.54
18,papaya,unknown,527.0,9.5,19.5,0.78
22,lime,unknown,51.0,4.3,5.6,0.45
16,cherry,unknown,9.0,2.6,1.7,0.99
24,durian,unknown,2024.0,19.0,24.8,0.63
19,dragon_fruit,unknown,399.0,8.7,11.3,0.89
23,grapefruit,unknown,373.0,10.8,11.6,0.81
11,strawberry,unknown,20.0,3.0,4.7,0.85
9,pomegranate,unknown,306.0,8.4,10.8,0.63
23,grapefruit,unknown,458.0,10.6,10.4,0.79
11,strawberry,unknown,15.0,2.5,4.4,0.93
24,durian,unknown,2524.0,18.8,24.8,0.61
25,coconut,unknown,1250.0,14.9,18.1,0.67
14,pineapple,unknown,1529.0,11.4,22.0,0.81
18,papaya,unknown,637.0,9.8,17.7,0.81
4,lemon,meyer,165.0,6.4,8.7,0.75
10,tomato,unknown,105.0,4.8,5.6,0.65
19,dragon_fruit,unknown,350.0,9.1,11.8,0.88
20,guava,unknown,178.0,6.5,6.6,0.69
8,banana,unknown,114.0,3.8,19.5,0.87
15,kiwi,unknown,50.0,5.2,6.5,0.69
15,kiwi,unknown,68.0,4.8,6.4,0.64
1,apple,fuji,118.0,8.1,6.9,0.78
17,avocado,unknown,190.0,6.4,8.0,0.5
18,papaya,unknown,529.0,9.1,22.0,0.77
1,apple,fuji,168.0,7.3,7.9,0.79
29,passion_fruit,unknown,45.0,4.3,5.7,0.67
18,papaya,unknown,423.0,10.2,19.6,0.83
2,mandarin,clementine,93.0,5.4,4.5,0.8
18,papaya,unknown,506.0,10.7,16.5,0.8
25,coconut,unknown,1288.0,13.6,19.6,0.61
20,guava,unknown,151.0,6.3,6.6,0.62
5,pear,unknown,194.0,6.5,8.8,0.76
18,papaya,unknown,591.0,10.4,19.6,0.75
11,strawberry,unknown,18.0,2.3,4.2,0.86
30,apricot,unknown,46.0,4.1,3.8,0.82
10,tomato,unknown,110.0,4.6,5.9,0.58
11,strawberry,unknown,18.0,2.9,3.6,0.97
3,orange,valencia,145.0,8.0,7.6,0.8
19,dragon_fruit,unknown,406.0,9.5,12.6,0.87
8,banana,unknown,84.0,3.1,16.9,0.89
3,orange,valencia,148.0,6.8,6.7,0.63
24,durian,unknown,1857.0,19.0,24.2,0.68
18,papaya,unknown,530.0,10.6,17.6,0.73
23,grapefruit,unknown,386.0,9.6,11.4,0.71
10,tomato,unknown,98.0,5.9,5.6,0.62
7,mango,unknown,273.0,6.9,11.5,0.82
21,plum,unknown,58.0,5.6,5.1,0.67
8,banana,unknown,113.0,3.6,19.3,0.9
12,grape,unknown,9.0,1.8,2.6,0.61
6,peach,unknown,122.0,6.7,7.3,0.8
